contato;oi bom dia, gostaria do numero de telefone da secretaria.
localizacao;Por gentileza, gostaria de saber a localização da secretaria da pós.
horario;qual o horário de funcionamento
despedida;ok muito obrigada pela ajuda
despedida;ta bom, obrigada
saudacao;boa tarde
contato;por favor gostaria do e-mail da secretaria
despedida;beleza, valeu
localizacao;qual o endereço da secretaria?
horario;olá, que horas a secretaria abre?
contato;Qual o telefone da secretaria
localizacao;Aonde fica a secretaria ?
horario;Que horas que abre a secretaria?
despedida;Adeus
despedida;até mais
saudacao;Boa noite
contato;A secretaria possui telefone de contato ?
localizacao;To perdido, aonde fica a secretaria ?
horario;Quando que funciona a secretaria ?
